periodo_ms,t_vuelta_us,voltaje,t_voltaje_us,vuelta
,,2.017061,83992,0
,,2.00981,84249,0
,,2.0186724,84506,0
,,2.00981,84763,0
,,2.0106158,85018,0
,,2.0146442,85275,0
,,2.007393,85532,0
,,2.019478,85790,0
,,2.0283406,86046,0
,,2.0146442,86302,0
,,2.0114214,86557,0
,,2.0146442,86815,0
,,2.0202836,87072,0
,,2.0162554,87329,0
,,2.0057814,87585,0
,,2.021895,87842,0
,,1.99208516,88099,0
,,1.987251,88355,0
,,1.9695262,88612,0
,,1.99450216,88868,0
,,1.987251,89125,0
,,1.95019,89382,0
,,2.0090044,89640,0
,,1.9654978,89895,0
,,2.027535,90152,0
,,1.9695262,90407,0
,,1.95744116,90664,0
,,1.90184932,90922,0
,,1.93327068,91179,0
,,1.780142,91436,0
,,1.9630808,91693,0
,,1.4634607,91949,0
,,1.2821332,92205,0
,,1.3401419,92462,0
,,1.4715174,92719,0
,,1.014548,92975,0
,,1.0427968,93231,0
,,1.026633,93488,0
,,1.0798581,93745,0
,,1.1338384,94003,0
,,0.9057816,94260,0
,,1.0000458,94518,0
,,1.2781049,94775,0
,,1.2724651,95032,0
,,1.5077729,95289,0
,,1.6697643,95544,0
,,1.73018992,95801,0
,,1.792227,96058,0
,,1.8607598,96314,0
,,1.8833188,96572,0
,,1.9050721,96828,0
,,1.9171572,97085,0
,,1.9477729,97341,0
,,1.88654136,97598,0
,,1.9469672,97854,0
,,1.955024,98111,0
,,1.962275,98367,0
,,1.952607,98625,0
,,1.972749,98882,0
,,1.9808058,99140,0
,,1.99853052,99396,0
,,1.98402832,99653,0
,,2.001753,99909,0
,,2.0267294,100167,0
,,1.987251,100422,0
,,1.98886252,100678,0
,,2.0106158,100936,0
,,2.0235066,101191,0
,,1.99208516,101448,0
,,2.0299518,101705,0
,,2.0227008,101964,0
,,2.032369,102220,0
,,2.0114214,102476,0
,,1.987251,102735,0
,,1.99691932,102991,0
,,1.987251,103247,0
,,1.98483408,103504,0
,,1.98563968,103761,0
,,1.98322268,104018,0
,,1.9904738,104274,0
,,2.0581506,104531,0
,,1.9743602,104789,0
,,1.955024,105045,0
,,1.9630808,105303,0
,,1.962275,105560,0
,,1.9590524,105816,0
,,1.95099568,106073,0
,,1.94455024,106329,0
,,1.9163516,106586,0
,,1.8333166,106844,0
,,1.8397618,107100,0
,,1.70440832,107356,0
,,1.3965392,107614,0
,,0.7107576,107871,0
,,0.5826047,108127,0
,,1.0669672,108384,0
,,0.9968231,108641,0
,,0.5423209,108898,0
,,0.364216068,109155,0
,,0.1595239,109412,0
,,0.0,109668,0
,,0.0,109925,0
,,0.7236484,110182,0
,,0.25303274,110438,0
,,0.25706112,110695,0
,,0.68014184,110953,0
,,0.74620732,111210,0
,,1.2781049,111468,0
,,1.0185763,111743,1
,,1.3876768,112000,1
,,1.927631,112257,1
,,1.8115632,112516,1
,,1.8631768,112773,1
,,1.90587768,113031,1
,,1.9211856,113289,1
,,1.95421832,113545,1
,,1.94938432,113803,1
,,1.9687206,114060,1
,,1.9703318,114328,1
,,1.98402832,114587,1
,,1.971943,114843,1
,,1.98644532,115100,1
,,1.99208516,115360,1
,,1.98644532,115616,1
,,2.071092,115874,1
,,1.99853052,116133,1
,,1.98322268,116391,1
,,2.00981,116647,1
,,1.99853052,116905,1
,,2.00981,117161,1
,,2.0009474,117418,1
,,1.99853052,117674,1
,,1.99853052,117931,1
,,2.0138384,118189,1
,,2.0202836,118446,1
,,2.0460654,118703,1
,,2.021895,118961,1
,,1.99691932,119218,1
,,2.0114214,119475,1
,,2.057345,119732,1
,,2.0267294,119989,1
,,2.0090044,120247,1
,,2.0694802,120504,1
,,1.99208516,120760,1
,,2.0307576,121016,1
,,2.0202836,121273,1
,,1.9703318,121529,1
,,1.9534126,121786,1
,,2.0267294,122043,1
,,1.9671092,122301,1
,,1.9687206,122559,1
,,1.97919432,122815,1
,,1.9679148,123071,1
,,1.95744116,123328,1
,,1.9389105,123586,1
,,1.9437446,123843,1
,,1.9340764,124099,1
,,1.9171572,124356,1
,,1.9123232,124612,1
,,1.86156536,124868,1
,,1.8276768,125125,1
,,1.8276768,125382,1
,,1.74872052,125639,1
,,1.7704738,125897,1
,,1.5786724,126154,1
,,1.6762097,126412,1
,,1.86478832,126669,1
,,1.5271092,126926,1
,,1.5794782,127182,1
,,1.5061616,127438,1
,,1.8357336,127694,1
,,1.512607,127952,1
,,1.3852598,128208,1
,,1.5714214,128465,1
,,1.8349279,128722,1
,,1.83815052,128979,1
,,1.844596,129236,1
,,1.8389562,129493,1
,,1.8857358,129750,1
,,1.94293884,130007,1
,,1.9687206,130263,1
,,1.89862668,130519,1
,,1.9179628,130775,1
,,2.032369,131032,1
,,2.00981,131290,1
,,2.0081988,131547,1
,,1.9953078,131804,1
,,1.972749,132062,1
,,2.0049758,132319,1
,,2.001753,132577,1
,,2.0202836,132833,1
,,2.0049758,133091,1
,,1.98483408,133348,1
,,1.98322268,133604,1
,,1.9904738,133861,1
,,1.98563968,134118,1
,,2.0001418,134375,1
,,1.98805668,134630,1
,,1.9977249,134887,1
,,1.98644532,135144,1
,,2.0001418,135402,1
,,1.9928908,135658,1
,,1.9799999,135914,1
,,1.98886252,136171,1
,,1.9711375,136427,1
,,1.9816114,136684,1
,,2.0162554,136941,1
,,1.9687206,137198,1
,,1.95985808,137457,1
,,1.96469216,137714,1
,,1.95985808,137971,1
,,1.9534126,138228,1
,,1.9606638,138484,1
,,1.9461615,138741,1
,,1.909906,138997,1
,,1.83815052,139255,1
,,2.0009474,139513,1
,,1.8067292,139768,1
,,1.8534584,140026,1
,,1.6415151,140283,1
,,1.4908538,140540,1
,,1.0250217,140797,1
,,1.5746441,141054,1
,,1.460238,141310,1
,,1.0298558,141567,1
,,0.6422751,141824,1
,,0.8993362,142080,1
,,0.41175096,142335,1
,,0.20544746,142591,1
,,0.12890822,142849,1
,,0.6914214,143104,1
,,0.38516364,143361,1
,,0.42872052,143616,1
,,0.35454796,143873,1
,,0.8372991,144130,1
,,0.73251084,144387,1
,,0.9960174,144644,1
,,1.1193361,144901,1
,,1.3248341,145159,1
,,1.7285786,145415,1
,,1.83089952,145672,1
,,1.9211856,145928,1
,,1.92038,146185,1
,,1.93327068,146443,1
,,1.9461615,146700,1
,,1.971943,146957,1
,,1.97758284,147215,1
,,1.9735546,147472,1
,,2.0227008,147728,1
,,1.97758284,147986,1
,,1.98402832,148242,1
,,1.99127952,148498,1
,,1.99450216,148754,1
,,1.9936964,149011,1
,,2.0090044,149268,1
,,2.0138384,149525,1
,,1.9953078,149782,1
,,2.00981,150040,1
,,2.0114214,150297,1
,,1.98563968,150553,1
,,2.00981,150809,1
,,2.0307576,151067,1
,,2.0460654,151325,1
,,2.0412314,151582,1
,,2.0404258,151839,1
,,2.0186724,152096,1
,,2.0162554,152353,1
,,2.0363972,152610,1
,,2.0138384,152866,1
,,2.0178666,153123,1
,,2.0049758,153379,1
,,2.0065872,153638,1
,,2.0049758,153894,1
,,1.9993362,154151,1
,,1.9936964,154409,1
,,2.0033646,154664,1
,,1.975166,154921,1
,,1.9783886,155178,1
,,1.982417,155434,1
,,1.97758284,155691,1
,,1.972749,155948,1
,,1.9630808,156204,1
,,1.9687206,156461,1
,,1.9461615,156718,1
,,1.9735546,156974,1
,,1.95019,157231,1
,,1.9082948,157489,1
,,1.8720394,157747,1
,,1.8744564,158004,1
,,1.8599542,158261,1
,,1.6334584,158518,1
,,1.6350697,158775,1
,,1.2805219,159033,1
,,1.5939803,159290,1
,,1.4190982,159548,1
,,1.95180132,159805,1
,,0.980709568,160062,1
,,1.3715633,160318,1
,,1.535166,160575,1
,,1.4956877,160832,1
,,1.3038864,161089,1
,,1.4174868,161346,1
,,1.6350697,161603,1
,,1.5980088,161860,1
,,1.5472511,162117,1
,,1.6374868,162375,1
,,1.799478,162632,1
,,1.8534584,162890,1
,,1.89862668,163147,1
,,1.9372991,163403,1
,,1.94535584,163661,1
,,1.9469672,163919,1
,,1.9356878,164176,1
,,1.9614694,164433,1
,,1.9630808,164690,1
,,1.9711375,164948,1
,,1.97677732,165206,1
,,1.98644532,165462,1
,,2.001753,165719,1
,,2.0227008,165976,1
,,2.0033646,166233,1
,,1.9904738,166490,1
,,2.0283406,166749,1
,,2.0065872,167006,1
,,1.9953078,167262,1
,,2.027535,167519,1
,,1.99208516,167777,1
,,1.972749,168033,1
,,2.0057814,168291,1
,,1.99691932,168547,1
,,1.9904738,168804,1
,,1.982417,169060,1
,,2.0081988,169317,1
,,1.9936964,169574,1
,,2.0500936,169830,1
,,2.0081988,170088,1
,,1.9808058,170346,1
,,1.98563968,170603,1
,,1.9695262,170861,1
,,2.0009474,171118,1
,,2.0331744,171374,1
,,1.98483408,171630,1
,,1.9671092,171888,1
,,1.975166,172144,1
,,1.9405218,172400,1
,,1.987251,172658,1
,,1.89218132,172915,1
,,1.89701532,173172,1
,,1.8688166,173429,1
,,1.792227,173686,1
,,1.6318472,173943,1
,,0.91544976,174201,1
,,0.94123132,174457,1
,,0.8534126,174714,1
,,0.57615924,174971,1
,,0.5334585,175228,1
,,0.4335546,175484,1
,,0.08701304,175741,1
,,0.24658732,175997,1
,,0.17563744,176253,1
,,0.21194324,176511,1
,,0.09748684,176767,1
,,0.0443122,177023,1
,,0.20222476,177280,1
,,0.26592352,177537,1
,,0.36179904,177795,1
,,0.4569192,178051,1
,,0.7760174,178309,1
,,0.9106157,178565,1
,,1.4054017,178839,2
,,1.1990981,179096,2
,,1.7438865,179356,2
,,1.868011,179613,2
,,1.93246516,179872,2
,,1.89862668,180129,2
,,1.9711375,180387,2
,,1.8768734,180645,2
,,2.0130326,180902,2
,,1.99208516,181159,2
,,2.0146442,181426,2
,,1.9437446,181684,2
,,1.99127952,181941,2
,,1.99853052,182198,2
,,1.99127952,182455,2
,,1.98644532,182712,2
,,2.0041702,182970,2
,,2.001753,183228,2
,,2.0154498,183487,2
,,2.001753,183744,2
,,2.001753,184000,2
,,2.0130326,184256,2
,,2.0428428,184513,2
,,2.00981,184771,2
,,2.0186724,185029,2
,,2.0146442,185285,2
,,2.0162554,185543,2
,,2.0259236,185800,2
,,2.0243122,186057,2
,,2.027535,186314,2
,,2.0130326,186571,2
,,2.027535,186828,2
,,2.0130326,187084,2
,,2.0307576,187341,2
,,2.017061,187598,2
,,2.0227008,187855,2
,,2.0114214,188111,2
,,2.021895,188369,2
,,2.0081988,188625,2
,,1.9816114,188881,2
,,1.9993362,189140,2
,,1.9711375,189397,2
,,1.9687206,189653,2
,,1.95744116,189908,2
,,1.98644532,190164,2
,,1.9469672,190422,2
,,1.9187686,190677,2
,,1.9936964,190934,2
,,1.9614694,191190,2
,,1.89862668,191448,2
,,1.83089952,191705,2
,,1.7390524,191963,2
,,1.6971572,192222,2
,,1.4884367,192479,2
,,1.3884824,192737,2
,,1.317583,192995,2
,,1.3393362,193252,2
,,1.1926528,193508,2
,,1.1032226,193765,2
,,1.1451179,194021,2
,,0.7711833,194278,2
,,0.88161132,194535,2
,,0.963790336,194792,2
,,0.94525976,195048,2
,,1.2764934,195304,2
,,1.0685786,195561,2
,,1.3433646,195818,2
,,1.5190524,196075,2
,,1.7398582,196333,2
,,1.8099519,196589,2
,,1.842179,196846,2
,,1.87929036,197102,2
,,1.9695262,197359,2
,,1.96630352,197615,2
,,1.9413274,197870,2
,,1.9630808,198128,2
,,1.9477729,198384,2
,,1.9953078,198641,2
,,2.0267294,198897,2
,,2.0001418,199155,2
,,1.94535584,199411,2
,,1.9477729,199667,2
,,1.95099568,199925,2
,,1.98805668,200182,2
,,1.94938432,200440,2
,,1.97677732,200696,2
,,2.0735088,200954,2
,,1.98402832,201209,2
,,2.0283406,201465,2
,,1.98644532,201723,2
,,2.0243122,201981,2
,,1.98402832,202239,2
,,1.95824668,202495,2
,,1.98886252,202752,2
,,1.9808058,203009,2
,,1.982417,203266,2
,,1.98966816,203525,2
,,1.99691932,203782,2
,,1.9961135,204039,2
,,1.9936964,204297,2
,,1.98886252,204554,2
,,1.9735546,204810,2
,,1.9614694,205067,2
,,1.9695262,205325,2
,,1.96630352,205582,2
,,1.95824668,205839,2
,,1.9477729,206097,2
,,1.9389105,206354,2
,,1.92601968,206611,2
,,1.90748916,206868,2
,,1.89379252,207126,2
,,1.842179,207384,2
,,1.74872052,207641,2
,,1.429572,207898,2
