periodo,t_vuelta,voltaje,t_voltaje
,,0.00886244,244412361
,,0.0,244412638
,,0.014502174,244412912
,,0.014502174,244413187
,,0.28687114,244413460
,,0.16435798,244413737
,,0.27881438,244414013
,,0.09587548,244414289
,,0.37388416,244414564
,,0.5278187,244414840
,,0.419052432,244415115
,,0.65355456,244415389
,,0.5173449,244415665
,,0.80663304,244415940
,,0.79293656,244416216
,,0.8622751,244416492
,,0.6946441,244416768
,,1.1386725,244417043
,,0.8469673,244417318
,,1.1064454,244417591
,,0.7486244,244417866
,,0.83407648,244418141
,,0.9565393,244418417
,,1.0742183,244418690
,,0.9541222,244418966
,,0.59791256,244419242
,,0.70995192,244419517
,,0.67369648,244419792
,,0.5930785,244420068
,,0.56165716,244420345
,,0.29653924,244420619
,,0.6124147,244420894
,,0.24014192,244421169
,,0.1055436,244421446
,,0.32151524,244421721
,,0.063648424,244421995
,,0.29251088,244422271
,,0.25625542,244422546
,,0.15388418,244422823
,,0.23127946,244423098
,,0.2699519,244423373
,,0.32796064,244423649
,,0.22241702,244423924
,,0.35213092,244424200
,,0.16194094,244424475
,,0.3940261,244424752
,,0.45772488,244425026
,,0.27720302,244425302
,,0.43758296,244425578
,,0.49478596,244425855
,,0.41582972,244426131
,,0.5954955,244426406
,,0.8106615,244426681
,,0.6688624,244426956
,,0.65758292,244427232
,,0.57051956,244427506
,,0.7800458,244427781
,,0.632607,244428057
,,0.6454978,244428332
,,0.60355232,244428608
,,0.6414694,244428883
,,0.7623209,244429158
,,0.5584344,244429432
,,0.42630348,244429707
,,0.6172488,244429983
,,0.48108948,244430259
,,0.6245502,244430535
,,0.18772258,244430811
,,0.30379036,244431085
,,0.15710689,244431359
,,0.221611344,244431635
,,0.20141908,244431910
,,0.08217899,244432185
,,0.05317464,244432461
,,0.0443122,244432737
,,0.016113528,244433012
,,0.0362554368,244433287
,,0.0,244433563
,,0.0,244433836
,,0.0,244434113
,,0.0,244434388
,,0.0,244434665
,,0.008056764,244434938
,,0.0096681152,244435214
,,0.0386724616,244435490
,,0.16113527,244435765
,,0.21838864,244436040
,,0.184499884,244436316
,,0.30217898,244436590
,,0.24255892,244436866
,,0.48028384,244437140
,,0.4069169,244437415
,,0.7832685,244437691
,,0.5390982,244437967
,,0.6293843,244438243
,,0.99118332,244438519
,,0.6906157,244438795
,,0.8663035,244439069
,,1.1056398,244439345
,,0.9235065,244439619
,,1.154786,244439895
,,0.85099568,244440171
,,0.7083405,244440449
,,0.87758296,244440723
,,0.7913253,244440999
,,0.9106157,244441274
,,0.7115633,244441550
,,0.73009384,244441825
,,0.7188144,244442101
,,0.4641703,244442378
,,0.4665873,244442654
,,0.48108948,244442928
,,0.38516364,244443205
,,0.194168,244443481
,,0.41175096,244443755
,,0.24175326,244444032
,,0.211137552,244444309
,,0.10876631,244444613
,,0.31748684,244444893
,,0.08379034,244445170
,,0.10473793,244445448
,,0.22,244445723
,,0.26511788,244445999
,,0.29653924,244446296
,,0.25867244,244446575
,,0.31345844,244446851
,,0.6728908,244447128
,,0.3932204,244447405
,,0.7574868,244447680
,,0.67933624,244447956
,,0.44886244,244448231
,,0.7607095,244448507
,,0.87758296,244448782
,,1.0484366,244449058
,,0.8832227,244449332
,,1.0935546,244449610
,,0.98715496,244449884
,,0.85824668,244450159
,,1.1,244450436
,,1.0105195,244450712
,,0.9984344,244450988
,,1.1934584,244451264
,,0.66241708,244451538
,,1.0806637,244451814
,,0.8864454,244452087
,,0.7163973,244452363
,,0.982320832,244452638
,,0.6261616,244452912
,,0.49559168,244453188
,,0.52862436,244453463
,,0.9686244,244453740
,,0.23450216,244454015
,,0.26914626,244454290
,,0.19980774,244454564
,,0.116017392,244454840
,,0.04350652,244455115
,,0.025781642,244455390
,,0.02658732,244455666
,,0.01772488,244455940
,,0.042700844,244456217
,,0.02417029,244456491
,,0.074927896,244456768
,,0.05478599,244457045
,,0.29573356,244457320
,,0.15468985,244457596
,,0.12004577,244457871
,,0.3158755,244458148
,,0.451279468,244458423
,,0.8437446,244458698
,,0.7051179,244458972
,,0.7437903,244459247
,,0.89530784,244459521
,,0.85663532,244459795
,,0.753458436,244460070
,,0.855024064,244460346
,,1.209572,244460621
,,0.98554352,244460895
,,1.1056398,244461170
,,1.050048,244461448
,,1.0685786,244461721
,,1.1153078,244461998
,,0.89853052,244462271
,,0.9734584,244462546
,,0.7437903,244462823
,,0.7018952,244463096
,,0.825213936,244463374
,,0.7212314,244463648
,,0.8034104,244463924
,,0.63341268,244464201
,,0.49639736,244464474
,,0.44805676,244464749
,,0.25464408,244465024
,,0.35374228,244465299
,,0.32715496,244465576
,,0.37227284,244465851
,,0.11521172,244466128
,,0.23047378,244466403
,,0.07089952,244466677
,,0.08217899,244466953
,,0.10070954,244467229
,,0.056397344,244467505
,,0.07573357,244467780
,,0.1023209,244468056
,,0.16838636,244468330
,,0.045117876,244468604
,,0.09909819,244468878
,,0.30298466,244469153
,,0.56487984,244469431
,,0.25947816,244469708
,,0.4843122,244469984
,,0.371467136,244470260
,,0.5004257,244470535
,,0.43194324,244470811
,,0.55118332,244471086
,,0.7590982,244471363
,,0.6680567,244471639
,,0.58179904,244471915
,,0.6253559,244472189
,,0.4980087,244472463
,,0.7776287,244472740
,,0.45450216,244473016
,,0.4883406,244473294
,,0.6003296,244473568
,,0.5254017,244473845
,,0.427914836,244474118
,,0.57454792,244474394
,,0.26431218,244474670
,,0.1401877,244474946
,,0.28606544,244475222
,,0.26914626,244475497
,,0.073316548,244475772
,,0.16516365,244476049
,,0.16758068,244476324
,,0.12326848,244476599
,,0.21274892,244476875
,,0.05075761,244477151
,,0.07009385,244477426
,,0.049146256,244477702
,,0.05075761,244477978
,,0.0886244,244478253
,,0.05075761,244478528
,,0.05317464,244478803
,,0.12085146,244479079
,,0.18288852,244479354
,,0.29734492,244479630
,,0.3795239,244479907
,,0.412606968,244480181
,,0.51089952,244480456
,,0.5350698,244480731
,,0.49478596,244481007
,,0.51089952,244481282
,,0.7848798,244481559
,,0.676919136,244481833
,,0.6446921,244482110
,,0.85744104,244482385
,,0.717203,244482659
,,1.0403799,244482935
,,0.9895719,244483211
,,1.0597162,244483486
,,0.6422751,244483763
,,1.0822752,244484036
,,0.97104148,244484311
,,0.92511784,244484586
,,0.907393,244484862
,,0.801799,244485137
,,0.79051952,244485413
,,0.8437446,244485687
,,0.49398032,244485962
,,0.58502176,244486237
,,0.5237903,244486515
,,0.53265276,244486791
,,0.37549552,244487064
,,0.54151524,244487339
,,0.1836942,244487616
,,0.056397344,244487891
,,0.21838864,244488167
,,0.07009385,244488472
,,0.0362554368,244488751
,,0.08137331,244489028
,,0.09506981,244489304
,,0.04350652,244489580
,,0.007251087,244489856
,,0.3247379,244490153
,,0.12407415,244490434
,,0.1192401,244490709
,,0.340851468,244490988
,,0.43919432,244491265
,,0.41094528,244491540
,,0.371467136,244491815
,,0.7574868,244492088
,,0.65033184,244492362
,,0.5785763,244492639
,,0.87838868,244492914
,,0.8413275,244493191
,,0.9138384,244493467
,,0.9750698,244493743
,,1.0935546,244494018
,,1.0838865,244494294
,,1.0306615,244494569
,,1.1829846,244494846
,,1.245072,244495121
,,1.0339345,244495396
,,0.947676864,244495672
,,1.1306157,244495946
,,0.9734584,244496221
,,0.8808056,244496496
,,0.74701304,244496772
,,0.6583887,244497048
,,0.714786,244497323
,,0.5205676,244497599
,,0.47867244,244497875
,,0.53104144,244498150
,,0.19577934,244498424
,,0.50928816,244498699
,,0.2844541,244498975
,,0.20303044,244499250
,,0.0725108736,244499527
,,0.12649119,244499803
,,0.13454795,244500080
,,0.05075761,244500355
,,0.07976195,244500631
,,0.26592352,244500907
,,0.2514214,244501182
,,0.4028885,244501455
,,0.4915633,244501731
,,0.40611124,244502008
,,0.385969336,244502282
,,0.371467136,244502556
,,0.5366811,244502832
,,0.79696492,244503108
,,0.7776287,244503381
,,0.72687112,244503656
,,1.045214,244503932
,,0.8429389,244504207
,,1.035546,244504483
,,0.90900432,244504756
,,1.1668711,244505030
,,1.1644541,244505308
,,1.0298558,244505581
,,1.0572991,244505856
,,1.0024628,244506129
,,0.80824448,244506404
,,1.0605218,244506680
,,1.0919433,244506955
,,0.72606548,244507230
,,0.7051179,244507504
,,0.5447379,244507778
,,0.5350698,244508053
,,0.33762876,244508329
,,0.5898558,244508604
,,0.32715496,244508879
,,0.22,244509154
,,0.13696498,244509431
,,0.24255892,244509705
,,0.117628744,244509980
,,0.09909819,244510255
,,0.04592355,244510529
,,0.030615702,244510804
,,0.0193362308,244511078
,,0.0024170288,244511355
,,0.0,244511630
,,0.0,244511905
,,0.03544976,244512181
,,0.0886244,244512455
,,0.12810254,244512731
,,0.09506981,244513006
,,0.17563744,244513280
,,0.249004352,244513556
,,0.30943006,244513829
,,0.402082836,244514105
,,0.2884825,244514380
,,0.59146716,244514655
,,0.381135268,244514931
,,0.524596,244515207
,,0.55762876,244515483
,,0.459336232,244515756
,,0.7123689,244516031
,,0.60355232,244516306
,,0.5834104,244516583
,,0.43194324,244516859
,,0.5479606,244517133
,,0.5930785,244517411
,,0.7550698,244517688
,,0.5060655,244517963
,,0.50687116,244518240
,,0.53104144,244518515
,,0.50928816,244518790
,,0.3255436,244519068
,,0.21274892,244519342
,,0.348908232,244519617
,,0.3384344,244519893
,,0.28606544,244520169
,,0.22,244520443
,,0.15066147,244520718
,,0.3287663,244520998
,,0.11682307,244521274
