periodo,t_vuelta,voltaje,t_voltaje
,,2.5433188,9731300
,,2.4707576,9731300
,,2.6617532,9731301
,,2.4998124,9731301
,,2.4877272,9731301
,,2.349906,9731301
,,2.2741726,9731302
,,2.032369,9731302
,,2.120238,9731302
,,1.909906,9731302
,,1.8623712,9731303
,,1.78900432,9731303
,,1.2321309,9731303
,,1.2555458,9731304
,,1.6390982,9731304
,,1.4940764,9731304
,,1.3191943,9731304
,,0.9887663,9731305
,,0.3932204,9731305
,,0.8332707,9731305
,,0.6382467,9731305
,,0.347296868,9731306
,,0.7486244,9731306
,,0.43436024,9731306
,,0.8437446,9731307
,,0.6075807,9731307
,,0.918672464,9731307
,,0.8372991,9731307
,,0.9130327,9731308
,,0.8268254,9731308
,,0.8284367,9731308
,,0.917866736,9731309
,,0.9508995,9731309
,,0.9629847,9731309
,,1.1451179,9731309
,,1.3369192,9731310
,,1.0895262,9731310
,,1.2063492,9731310
,,1.5939803,9731310
,,1.4054017,9731311
,,1.3151659,9731311
,,1.3715633,9731311
,,1.7785306,9731312
,,1.4255436,9731312
,,1.9284368,9731312
,,1.71649336,9731312
,,1.4037904,9731313
,,1.7108536,9731313
,,1.8107576,9731313
,,1.9171572,9731313
,,1.1845961,9731314
,,1.157203,9731314
,,1.134644,9731314
,,1.6713756,9731315
,,0.7784344,9731315
,,0.9428427,9731315
,,1.1032226,9731315
,,1.1112794,9731316
,,0.9533165,9731316
,,0.36099336,9731316
,,0.6616113,9731317
,,0.62052184,9731317
,,0.64066376,9731317
,,0.64388644,9731317
,,0.6559716,9731318
,,0.37871824,9731318
,,0.474644068,9731318
,,0.5431266,9731318
,,0.3634104,9731319
,,0.4036942,9731319
,,0.45530784,9731319
,,0.8598581,9731320
,,1.0621332,9731320
,,1.4554039,9731320
,,0.0886244,9731320
,,0.5165392,9731321
,,0.192556652,9731321
,,1.2111833,9731321
,,1.6326528,9731322
,,1.682655,9731322
,,1.4021789,9731322
,,1.2893842,9731322
,,1.0274388,9731323
,,1.6882948,9731323
,,1.5963973,9731323
,,0.6712795,9731323
,,0.74701304,9731324
,,1.4432685,9731324
,,1.78819868,9731324
,,1.7398582,9731325
,,1.3602837,9731325
,,1.2499062,9731325
,,1.4424628,9731325
,,0.9517052,9731326
,,1.0234103,9731326
,,1.1169192,9731326
,,1.3481986,9731326
,,1.0331288,9731327
,,1.2232685,9731327
,,1.0460197,9731327
,,1.1193361,9731328
,,1.0331288,9731328
,,0.6213275,9731328
,,0.55601732,9731328
,,0.5697139,9731329
,,0.4295262,9731329
,,0.3529366,9731329
,,0.65355456,9731330
,,0.24175326,9731330
,,0.21436026,9731330
,,0.435971616,9731330
,,0.4528908,9731331
,,0.27317464,9731331
,,0.32715496,9731331
,,0.032227056,9731331
,,0.38919202,9731332
,,0.48350652,9731332
,,0.22402838,9731332
,,0.0918471,9731333
,,0.219194308,9731333
,,0.937203,9731333
,,0.1869169,9731333
,,0.6849759,9731334
,,0.23127946,9731334
,,0.39966584,9731334
,,0.9629847,9731334
,,0.5382925,9731335
,,1.6358755,9731335
,,1.485214,9731335
,,1.7438865,9731336
,,1.4787686,9731336
,,1.4739345,9731336
,,1.577061,9731336
,,1.544834,9731337
,,1.6084825,9731337
,,1.5408056,9731337
,,1.7213274,9731338
,,1.4787686,9731338
,,1.76322268,9731338
,,1.6721812,9731338
,,1.7116594,9731339
,,1.6157336,9731339
,,2.1548822,9731339
,,1.99450216,9731339
,,1.1032226,9731340
,,2.0735088,9731340
,,1.6874892,9731340
,,2.0727032,9731341
,,1.40943,9731341
,,1.0048798,9731341
,,1.5504737,9731341
,,1.0105195,9731342
,,1.3610895,9731342
,,1.107251,9731342
,,0.98151517,9731343
,,0.97104148,9731343
,,0.5455436,9731343
,,0.4432227,9731343
,,1.0983887,9731344
,,0.8179125,9731344
,,0.96701304,9731344
,,0.4665873,9731344
,,0.23611354,9731345
,,0.435165936,9731345
,,1.0653559,9731345
,,0.30056764,9731346
,,0.6527489,9731346
,,0.9927947,9731346
,,0.71559168,9731346
,,0.89772488,9731347
,,0.7437903,9731347
,,1.0048798,9731347
,,1.1999038,9731348
,,1.1354496,9731348
,,1.1362554,9731348
,,1.0863035,9731348
,,1.1475348,9731349
,,1.2410437,9731349
,,1.3691462,9731349
,,1.4811857,9731349
,,1.5005218,9731350
,,1.5383886,9731350
,,1.8276768,9731350
,,1.88493008,9731351
,,1.7108536,9731351
,,1.83170516,9731351
,,1.84862452,9731351
,,1.8099519,9731352
,,2.100096,9731352
,,2.1009016,9731352
,,1.975166,9731353
,,1.62943,9731353
,,1.4940764,9731353
,,2.3950238,9731353
,,1.3731747,9731354
,,1.677821,9731354
,,1.7172991,9731354
,,1.2031266,9731354
,,1.257963,9731355
,,1.5859236,9731355
